번호,소방서 및 안전센터명,주소,상위 본부명,전화번호,X좌표,Y좌표,유형,등록일
1,수성소방서-수성-119 안전센터,대구광역시 수성구 들안로60길 30,대구소방안전본부,053-741-2119,35.856757,128.62085,119안전센터,2018-03-17
2,수성소방서-황금-119 안전센터,대구광역시 수성구 동대구로12길 41,대구소방안전본부,053-764-0119,35.8354932,128.6264246,119안전센터,2018-03-17
3,수성소방서-만촌-119 안전센터,대구광역시 수성구 달구벌대로 2658,대구소방안전본부,053-752-0119,35.8553405,128.6521084,119안전센터,2018-03-17
4,수성소방서-범물-119 안전센터,대구광역시 수성구 청호로 87,대구소방안전본부,053-780-5261,35.8255278,128.6443835,119안전센터,2018-03-17
5,북부소방서_대구-산격-119 안전센터,대구광역시 북구 유통단지로8길 88,대구소방안전본부,053-350-5790,35.9060774,128.614247,119안전센터,2018-03-17
6,북부소방서_대구-무태-119 안전센터,대구광역시 북구 호국로43길 21,대구소방안전본부,053-350-5780,35.9209169,128.5969011,119안전센터,2018-03-17
7,북부소방서_대구-복현-119 안전센터,대구광역시 북구 동북로 245,대구소방안전본부,053-350-5760,35.8953863,128.6181969,119안전센터,2018-03-17
8,북부소방서_대구-대현-119 안전센터,대구광역시 북구 대현로 105,대구소방안전본부,053-350-5770,35.8824217,128.6106205,119안전센터,2018-03-17
9,북부소방서_대구-노원-119 안전센터,대구광역시 북구 노원로 42,대구소방안전본부,053-350-5750,35.8921502,128.5673912,119안전센터,2018-03-17
10,북부소방서_대구-침산-119 안전센터,대구광역시 북구 침산남로 149,대구소방안전본부,053-350-5740,35.8883496,128.5922483,119안전센터,2018-03-17
11,북부소방서_대구-칠성-119 안전센터,대구광역시 북구 칠성남로 112,대구소방안전본부,053-350-5720,35.8779748,128.5922971,119안전센터,2018-03-17
12,서부소방서_대구-동천-119 안전센터,대구광역시 북구 구암로 155,대구소방안전본부,053-325-0119,35.931941,128.5578288,119안전센터,2018-03-17
13,서부소방서_대구-내당-119 안전센터,대구광역시 서구 서대구로3길 16,대구소방안전본부,053-557-0119,35.8594298,128.5552638,119안전센터,2018-03-17
14,서부소방서_대구-태전-119 안전센터,대구광역시 북구 칠곡중앙대로 184,대구소방안전본부,053-312-0119,35.9123206,128.548797,119안전센터,2018-03-17
15,서부소방서_대구-비산-119 안전센터,대구광역시 서구 달서로 206,대구소방안전본부,053-566-0119,35.8804392,128.5720345,119안전센터,2018-03-17
16,서부소방서_대구-이현-119 안전센터,대구광역시 서구 국채보상로 119,대구소방안전본부,053-552-0119,35.8690829,128.5441489,119안전센터,2018-03-17
17,서부소방서_대구-읍내-119 안전센터,대구광역시 북구 칠곡중앙대로 570,대구소방안전본부,053-321-0119,35.9464889,128.5515261,119안전센터,2018-03-17
18,서부소방서_대구-평리-119 안전센터,대구광역시 서구 달서천로 186,대구소방안전본부,053-320-4492,35.8818837,128.5544996,119안전센터,2018-03-17
19,동부소방서_대구-율하-119 안전센터,대구광역시 동구 율하동로8길 5,대구소방안전본부,053-605-5370,35.8620298,128.7019657,119안전센터,2018-03-17
20,동부소방서_대구-공산-119 안전센터,대구광역시 동구 팔공산로 1579,대구소방안전본부,053-605-5360,35.962767,128.6977513,119안전센터,2018-03-17
21,동부소방서_대구-불로-119 안전센터,대구광역시 동구 팔공로50길 19,대구소방안전본부,053-605-5350,35.9219951,128.6439421,119안전센터,2018-03-17
22,동부소방서_대구-안심-119 안전센터,대구광역시 동구 반야월로 291,대구소방안전본부,053-605-5340,35.8721648,128.7204102,119안전센터,2018-03-17
23,동부소방서_대구-동촌-119 안전센터,대구광역시 동구 해동로 180,대구소방안전본부,053-605-5330,35.8866965,128.6484933,119안전센터,2018-03-17
24,동부소방서_대구-신천-119 안전센터,대구광역시 동구 동대구로 507,대구소방안전본부,053-605-5320,35.8760907,128.6251739,119안전센터,2018-03-17
25,광산소방서_광주-평동-119 안전센터,광주광역시 광산구 월전동 1251,광주소방안전본부,,35.1242989,126.773418,119안전센터,2018-03-17
26,광산소방서_광주-첨단-119 안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),광주소방안전본부,062-606-4883,35.2187847,126.8491735,119안전센터,2018-03-17
27,광산소방서_광주-신가-119 안전센터,광주광역시 광산구 수등로 236(신가동),광주소방안전본부,062-606-4863,35.1849057,126.8347787,119안전센터,2018-03-17
28,광산소방서_광주-비아-119 안전센터,광주광역시 광산구 비아로12번길 10(비아동),광주소방안전본부,062-606-4843,35.2207346,126.823575,119안전센터,2018-03-17
29,광산소방서_광주-월곡-119 안전센터,광주광역시 광산구 사암로 276(월곡동),광주소방안전본부,062-606-4823,35.168918,126.809313,119안전센터,2018-03-17
30,광산소방서_광주-송정-119 안전센터,광주광역시 광산구 상무대로 93-1(도산동),광주소방안전본부,062-606-4803,35.129099,126.785525,119안전센터,2018-03-17
31,광산소방서_광주-하남-119 안전센터,광주광역시 광산구 하남산단1번로 13(하남동),광주소방안전본부,062-606-4903,35.1859848,126.7964868,119안전센터,2018-03-17
32,북부소방서_광주-동림-119 안전센터,광주광역시 북구 북문대로 202(동림동),광주소방안전본부,062-606-4783,35.1864747,126.8702777,119안전센터,2018-03-17
33,북부소방서_광주-두암-119 안전센터,광주광역시 북구 삼정로 5(두암동),광주소방안전본부,062-606-4763,35.1623846,126.9368036,119안전센터,2018-03-17
34,북부소방서_광주-일곡-119 안전센터,광주광역시 북구 설죽로 529(일곡동),광주소방안전본부,062-606-4743,35.2063476,126.8972942,119안전센터,2018-03-17
35,칠곡소방서,경북 칠곡군 기산면 칠곡대로 1216,경북소방본부,054-976-7001,35.99581,128.388162,소방서,2018-03-17
36,대전-가양-119 안전센터,대전광역시 동구 합내로 50,대전소방본부,042-609-6161,36.3474872,127.4405715,119안전센터,2018-03-17
37,대전-용운-119 안전센터,대전광역시 동구 용운로 151번길 88,대전소방본부,042-609-6151,36.3312594,127.4618264,119안전센터,2018-03-17
38,대전-산내-119 안전센터,대전광역시 동구 산내로 1328,대전소방본부,042-609-6141,36.2819026,127.467491,119안전센터,2018-03-17
39,대전-부사-119 안전센터,대전광역시 동구 대전천동로 508,대전소방본부,042-609-6131,36.32699,127.4329189,119안전센터,2018-03-17
40,대전-원동-119 안전센터,대전광역시 중구 대종로 373,대전소방본부,042-609-6121,36.3169676,127.4291671,119안전센터,2018-03-17
41,대전-삼성-119 안전센터,대전광역시 동구 태전로 134,대전소방본부,042-609-6111,36.3402664,127.4218609,119안전센터,2018-03-17
